"Територіальний розріз","Період","Значення cпостереження"
"Вінницька","2019","83133"
"Вінницька","2020","88380"
"Вінницька","2021","114218"
"Волинська","2019","73192"
"Волинська","2020","75193"
"Волинська","2021","90331"
"Дніпропетровська","2019","122298"
"Дніпропетровська","2020","126209"
"Дніпропетровська","2021","186697"
"Донецька","2019","49385"
"Донецька","2020","50124"
"Донецька","2021","69446"
"Житомирська","2019","70225"
"Житомирська","2020","76017"
"Житомирська","2021","95948"
"Закарпатська","2019","48853"
"Закарпатська","2020","49538"
"Закарпатська","2021","60632"
"Запорізька","2019","91452"
"Запорізька","2020","99738"
"Запорізька","2021","138521"
"Івано-Франківська","2019","63237"
"Івано-Франківська","2020","66245"
"Івано-Франківська","2021","88227"
"Київська","2019","123216"
"Київська","2020","135817"
"Київська","2021","162696"
"Кіровоградська","2019","77788"
"Кіровоградська","2020","81166"
"Кіровоградська","2021","109183"
"Луганська","2019","18793"
"Луганська","2020","20297"
"Луганська","2021","24684"
"Львівська","2019","85177"
"Львівська","2020","94317"
"Львівська","2021","119049"
"Миколаївська","2019","82121"
"Миколаївська","2020","86750"
"Миколаївська","2021","112864"
"Одеська","2019","82879"
"Одеська","2020","92823"
"Одеська","2021","115129"
"Полтавська","2019","134383"
"Полтавська","2020","136608"
"Полтавська","2021","195825"
"Рівненська","2019","58318"
"Рівненська","2020","62485"
"Рівненська","2021","77599"
"Сумська","2019","70550"
"Сумська","2020","75815"
"Сумська","2021","100760"
"Тернопільська","2019","54821"
"Тернопільська","2020","60565"
"Тернопільська","2021","79412"
"Харківська","2019","92835"
"Харківська","2020","97428"
"Харківська","2021","122227"
"Херсонська","2019","59972"
"Херсонська","2020","66973"
"Херсонська","2021","87378"
"Хмельницька","2019","65893"
"Хмельницька","2020","77153"
"Хмельницька","2021","96964"
"Черкаська","2019","86279"
"Черкаська","2020","91817"
"Черкаська","2021","112145"
"Чернівецька","2019","46135"
"Чернівецька","2020","50110"
"Чернівецька","2021","61088"
"Чернігівська","2019","78098"
"Чернігівська","2020","85435"
"Чернігівська","2021","117225"
